WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
990542,1,0,0,9,5,8,1,0,1,31,0,0,34,0,0,1,,0,6.72
990543,1,0,0,9,3,4,1,0,1,75,0,0,36,0,0,1,,0,0.19
990544,1,0,0,12,10,5,1,0,0,80,0,50,27,0,0,1,,0,0.18
990545,1,0,0,12,5,3,0,0,0,70,0,0,103,0,0,1,0,0,0.3
990550,1,0,0,13,13,6,0,1,0,69,0,0,33,0,0,1,1,0,0.27
990553,1,0,0,6,2,6,0,0,0,36,0,50,26,1,0,1,1,0,1.1
990555,1,0,0,13,6,1,1,0,0,90,0,40,39,1,0,1,0,0,0.19
990556,0,0,1,10,7,4,1,0,1,64,0,0,27,0,0,1,,0,0.26
990557,1,0,0,9,2,6,1,1,0,63,0,0,31,0,0,1,,0,0.42
990558,1,0,0,9,1,6,0,1,0,58,0,0,37,0,0,0,,0,1.2
990560,1,0,0,9,4,8,1,0,0,25,0,,,0,0,0,1,0,6.06
990564,1,0,0,13,14,7,0,1,0,84,0,0,21,0,0,0,1,0,0.24
990570,1,0,0,12,14,6,0,1,0,32,3,,,0,0,1,,0,0.95
990571,1,0,0,11,5,2,0,0,1,59,2,0,38,0,0,1,0,0,0.27
990572,0,0,0,13,9,3,1,0,1,37,0,40,26,0,0,1,,0,1.9
990578,1,0,0,9,5,6,1,1,0,58,0,30,116,1,0,1,0,0,6.28
990583,1,0,0,13,15,6,0,1,0,71,0,10,24,0,0,1,,0,0.54
990587,1,0,0,10,3,4,1,0,0,76,0,0,37,0,0,1,0,0,0.76
990600,1,0,0,15,11,1,0,0,1,88,0,20,84,0,0,1,0,0,0.54
990605,0,0,0,10,2,8,1,0,1,27,2,0,23,1,1,1,0,1,1.23
990608,1,0,0,12,11,4,0,0,0,79,0,20,21,1,0,1,,0,0.45
990609,1,0,0,10,4,6,1,1,0,46,2,0,17,0,0,1,,0,0.56
990611,1,0,0,10,2,6,0,1,0,73,0,0,51,0,0,1,1,0,0.07
990613,1,0,0,10,11,6,0,1,0,62,0,0,23,1,0,1,0,0,2.78
990618,0,1,0,7,1,8,1,0,0,37,0,50,24,0,0,0,1,0,4.63
990622,0,1,0,10,3,2,0,0,1,66,0,70,58,0,0,0,1,0,4.13
990623,1,0,0,10,5,3,1,0,0,49,0,50,26,,0,1,,0,2.55
990625,1,0,0,9,4,2,1,0,1,66,0,50,42,0,0,1,,0,0.19
990626,1,0,0,10,5,6,0,0,0,71,0,0,26,0,0,1,,0,0.56
990628,1,0,0,13,12,5,0,1,0,67,0,0,19,,0,0,,0,0.92
990633,1,0,0,14,10,6,0,1,0,31,1,0,23,0,0,1,0,0,0.94
990640,1,0,0,13,9,5,0,0,0,35,0,0,17,0,0,1,1,0,2.54
990641,1,0,0,13,1,2,1,0,0,62,0,50,44,0,0,1,,0,0.15
990642,0,0,1,14,13,2,1,0,0,58,1,40,18,0,0,1,0,0,1.56
990644,0,1,0,11,12,3,0,0,1,57,1,0,2936,0,0,1,0,0,2.29
990648,1,0,0,10,2,1,0,0,0,71,0,50,26,0,0,1,,0,0.17
990649,1,0,0,10,9,6,1,1,0,69,0,20,26,0,0,0,1,0,0.32
990650,1,0,0,10,6,,1,0,0,63,0,50,21,0,0,1,0,0,1.21
990651,1,0,0,10,2,3,1,0,1,58,0,0,34,0,0,1,0,0,0.06
990653,1,0,0,12,11,5,1,0,0,47,3,0,6065,0,0,1,0,0,0.8
990658,1,0,0,10,4,5,0,0,0,71,0,20,4643,1,0,1,0,0,0.52
990664,0,0,0,12,6,8,1,0,0,40,1,0,14,0,0,0,,0,0.7
990665,1,0,0,10,8,5,1,1,0,52,2,,,0,0,1,,0,1.74
990666,0,1,0,9,11,8,1,0,1,42,2,50,24,0,0,1,,1,7.38
990667,1,0,0,12,11,2,1,0,0,67,0,50,66,0,0,1,0,0,1.62
990670,0,1,0,13,9,4,1,0,1,41,2,0,50,0,0,1,0,0,0.51
990673,0,0,1,13,6,8,1,1,0,38,2,50,21,1,0,1,,0,0.19
990684,1,0,0,10,6,6,0,1,0,64,0,0,23,0,0,1,,0,0.24
990685,1,0,0,13,9,4,1,0,0,44,2,10,27594,0,0,1,0,0,0.55
990687,1,0,0,12,11,5,0,1,0,41,2,30,15,0,0,1,0,0,2.69
990688,0,0,0,10,3,6,1,0,0,68,0,10,25273,0,0,0,,0,0.11
990689,1,0,0,13,8,1,0,0,1,68,0,50,22,0,0,0,0,0,0.27
990690,0,1,0,9,1,1,1,0,1,45,3,10,29,0,1,0,0,1,7.38
990696,0,1,0,12,6,3,1,0,1,44,0,10,6204,,0,1,0,0,0.74
990700,1,0,0,11,11,3,0,0,0,65,0,50,1354,0,0,1,0,0,0.99
990703,1,0,0,12,6,6,0,1,0,79,0,0,108,1,0,1,0,0,0.13
990705,1,0,0,12,10,5,1,1,0,36,2,20,71,0,0,0,1,0,0.13
990709,0,1,0,10,5,2,1,0,1,32,4,50,8142,0,0,1,,1,0.6
990711,1,0,0,9,7,4,0,0,1,77,0,0,50,0,0,1,0,0,1.82
990737,1,0,0,13,1,3,1,0,1,62,0,30,53,0,0,1,1,0,0.13
990740,1,0,0,13,2,2,1,0,0,75,0,0,75,0,0,0,0,0,0.13
990767,1,0,0,9,3,4,0,0,0,51,0,0,40,0,0,1,,0,0.49
990773,1,0,0,10,4,2,1,0,1,74,0,50,22,0,0,1,,0,0.45
990783,1,0,0,10,3,1,1,0,1,84,0,0,55,0,0,0,0,,0.07
990784,0,0,1,15,8,2,1,0,1,37,1,50,5031,0,0,1,,0,2.37
990802,1,0,0,10,5,4,0,0,0,53,2,40,40,0,1,1,0,0,2.7
990966,1,0,0,13,12,6,0,1,0,59,1,0,30,0,0,0,0,0,1.5
990970,1,0,0,12,6,3,0,0,0,33,0,0,22,0,0,1,0,0,0.94
990974,1,0,0,9,6,6,0,0,1,84,0,10,90,0,0,1,0,0,1.23
990978,1,0,0,9,6,8,1,1,0,81,0,0,26,0,0,1,0,0,0.88
990981,1,0,0,13,13,5,1,1,0,54,2,0,13,0,0,1,0,0,0.36
990984,0,1,0,9,1,7,1,0,0,54,1,80,17,0,0,0,1,0,7.38
990987,1,0,0,13,3,8,1,0,1,63,0,0,30,0,0,1,,0,0.12
990992,1,0,0,12,11,5,0,0,1,75,0,50,29,0,0,1,0,0,0.13
990993,1,0,0,13,8,2,1,0,1,61,0,10,34,0,0,1,0,0,0.48
990995,1,0,0,9,6,3,1,0,1,39,0,50,124,0,0,1,0,0,3.62
990997,0,1,0,10,4,3,0,0,1,67,0,30,40,1,0,1,,0,0.46
990998,1,0,0,11,7,6,0,1,0,39,0,0,26,1,0,0,0,0,1.54
991002,1,0,0,12,8,6,0,1,0,56,1,0,31,0,0,1,1,0,0.49
991004,1,0,0,12,2,7,1,0,0,52,1,0,2758,0,0,1,1,0,0.06
991006,1,0,0,10,2,4,1,0,0,66,0,0,270,0,0,1,0,0,0.06
991007,0,0,0,9,7,4,0,0,0,47,0,20,36,0,0,1,1,0,2.08
991008,1,0,0,10,12,2,1,0,1,69,0,10,22,0,0,1,1,0,1.18
991010,1,0,0,13,8,5,0,1,0,77,0,10,34,0,1,1,0,0,0.61
991021,1,0,0,13,5,2,1,0,1,61,0,20,26,0,0,1,,0,0.09
991022,1,0,0,9,5,6,0,1,0,94,0,50,30,0,0,0,,0,0.67
991024,1,0,0,13,9,5,1,1,0,47,0,0,17,0,0,1,0,1,0.73
991025,1,0,0,10,3,5,1,0,1,59,0,0,31,0,0,1,0,0,0.06
991027,0,0,0,9,2,8,0,0,0,59,0,0,40,0,0,0,0,0,7.38
991029,1,0,0,11,6,8,0,1,0,64,0,0,190,0,0,1,,0,0.34
991030,1,0,0,15,13,3,1,0,1,60,0,50,17,0,0,1,1,0,1.72
991031,1,0,0,9,7,5,0,1,0,51,2,30,30,0,0,1,1,0,0.52
991036,1,0,0,13,,7,1,0,0,51,4,0,17,1,0,1,0,0,0.73
991037,0,1,0,12,4,3,1,0,1,63,0,0,18122,0,0,1,,0,0.06
991042,1,0,0,13,7,4,1,0,0,35,0,50,27353,0,0,1,,0,0.63
991043,1,0,0,15,11,3,0,0,1,29,0,60,9125,0,0,1,0,0,0.68
991047,1,0,0,12,11,4,1,1,0,50,2,0,80,0,1,1,,0,0.36
991048,1,0,0,10,3,4,1,0,0,43,0,20,92,1,0,1,,1,0.77
991050,1,0,0,12,3,5,1,1,0,34,0,,29,,0,,0,0,0.18
991053,1,0,0,9,4,7,0,0,1,61,0,0,62,0,0,0,0,0,0.43
991054,0,1,0,10,1,1,1,0,1,51,0,50,23,0,0,0,,0,0.22
991060,1,0,0,15,10,6,0,1,0,43,2,30,71,0,1,1,0,0,0.68
991061,1,0,0,13,4,1,1,0,0,38,2,70,24,0,0,0,1,0,0.57
991066,0,0,1,14,8,5,1,0,1,38,3,30,5718,0,0,0,,1,1.01
991067,1,0,0,12,5,1,0,0,1,29,0,0,18918,0,0,1,,0,1.89
991068,1,0,0,12,6,2,1,0,0,31,0,0,8,0,0,1,1,0,1.17
991069,0,0,0,9,5,8,0,0,1,60,2,50,22,0,0,0,,0,2.03
991073,1,0,0,11,10,4,0,0,0,41,2,50,17,0,0,1,1,0,0.79
