Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose,Bivalent.Booster.1
2020-12-17,Dauphin,10,NA,NA,NA,NA
2020-12-17,Delaware,153,NA,NA,NA,NA
2020-12-17,Elk,1,NA,NA,NA,NA
2020-12-17,Erie,67,NA,NA,NA,NA
2020-12-17,Fayette,76,NA,NA,NA,NA
2020-12-17,Franklin,2,NA,NA,NA,NA
2020-12-17,Greene,2,NA,NA,NA,NA
2020-12-17,Huntingdon,1,NA,NA,NA,NA
2020-12-17,Indiana,6,NA,NA,NA,NA
2020-12-17,Jefferson,1,NA,NA,NA,NA
2020-12-17,Juniata,3,NA,NA,NA,NA
2023-06-05,Wayne,NA,NA,NA,NA,2
2020-12-17,Lancaster,16,NA,NA,NA,NA
2020-12-17,Lawrence,1,NA,NA,NA,NA
2020-12-17,Lebanon,5,NA,NA,NA,NA
2020-12-17,Lehigh,32,NA,NA,NA,NA
2023-06-13,Blair,NA,NA,NA,NA,1
2020-12-17,Lycoming,23,NA,NA,NA,NA
2020-12-17,McKean,1,NA,NA,NA,NA
2020-12-17,Mercer,2,NA,NA,NA,NA
2020-12-17,Mifflin,15,NA,NA,NA,NA
2020-12-17,Monroe,7,NA,NA,NA,NA
2023-03-28,Clearfield,1,3,NA,NA,5
2020-12-17,Montour,15,NA,NA,NA,NA
2020-12-17,Northampton,16,NA,NA,NA,NA
2020-12-17,Northumberland,27,NA,NA,NA,NA
2020-12-17,Perry,3,NA,NA,NA,NA
2023-06-18,Lycoming,NA,NA,NA,NA,1
2020-12-17,Schuylkill,1,NA,NA,NA,NA
2020-12-17,Snyder,15,NA,NA,NA,NA
2020-12-17,Somerset,1,NA,NA,NA,NA
2020-12-17,Susquehanna,1,NA,NA,NA,NA
2020-12-17,Union,49,NA,NA,NA,NA
2020-12-17,Venango,10,NA,NA,NA,NA
2020-12-17,Warren,2,NA,NA,NA,NA
2020-12-17,Washington,113,NA,NA,NA,NA
2020-12-17,Wayne,4,NA,NA,NA,NA
2020-12-17,Westmoreland,62,NA,NA,NA,NA
2020-12-17,Wyoming,3,NA,NA,NA,NA
2020-12-17,York,6,NA,NA,NA,NA
2020-12-18,Adams,50,NA,NA,NA,NA
2021-09-09,Pike,39,31,7,NA,NA
2020-12-18,Armstrong,78,NA,NA,NA,NA
2020-12-18,Beaver,243,NA,NA,NA,NA
2020-12-18,Bedford,16,NA,NA,NA,NA
2020-12-18,Berks,85,NA,NA,NA,NA
2020-12-18,Blair,109,NA,NA,NA,NA
2020-12-18,Bradford,31,NA,NA,NA,NA
