County,Democratic,Republican,Libertarian,Other,Total,DemPercent,GOPPercent,LibPercent,OtherPercent,Votes_Casey,Votes_Harris,Votes_Mccormick,Votes_Trump,ElecDay_Casey,ElecDay_Harris,ElecDay_Mccormick,ElecDay_Trump,MailIn_Casey,MailIn_Harris,MailIn_Mccormick,MailIn_Trump,Provisional_Casey,Provisional_Harris,Provisional_Mccormick,Provisional_Trump,HarrisPercent,TrumpPercent,CaseyPercent,McCormickPercent
Elk,6207,12156,84,2395,20842,29.781211016217252,58.32453699261107,0.4030323385471644,11.491219652624508,4674,4483,11931,12543,3069,2887,10207,10724,1591,1580,1689,1784,14,16,35,35,26.33031833666158,73.66968166333842,28.14814814814815,71.85185185185186
Erie,81825,73053,1058,27101,183037,44.70407622502554,39.91160257215754,0.578025208018051,14.806295994798866,67868,67456,65603,68866,42050,41600,53720,56487,24721,24728,11017,11442,1097,1128,866,937,49.48284209445284,50.51715790554716,50.84849892486009,49.15150107513992
Fayette,32218,41149,339,8448,82154,39.216593227353506,50.08764028531781,0.4126396767047253,10.283126810623951,20752,19548,40804,43633,12542,11527,34796,37089,8028,7850,5699,6193,182,171,309,351,30.93968123328216,69.06031876671784,33.71239196828903,66.28760803171096
Forest,829,2053,10,372,3264,25.39828431372549,62.8982843137255,0.30637254901960786,11.397058823529411,741,724,1808,1902,450,437,1503,1583,285,282,301,314,6,5,4,5,27.57044935262757,72.42955064737244,29.070223617104745,70.92977638289526
Franklin,24011,64803,584,15544,104942,22.880257666139393,61.75125307312611,0.5564978750166758,14.811991385717823,23591,23543,57217,59604,14493,14301,46056,48127,8971,9109,10997,11312,127,133,164,165,28.314912143552984,71.68508785644701,29.193891693891693,70.8061083061083
Fulton,1501,7334,49,998,9882,15.189232948795791,74.21574580044525,0.49585104229912974,10.099170208459826,1197,1102,6773,7039,805,715,5799,6059,375,374,941,942,17,13,33,38,13.536420587151454,86.46357941284855,15.018820577164366,84.98117942283562
Greene,8125,12089,87,2232,22533,36.05822571339813,53.65020192606399,0.3861003861003861,9.905471974437493,5075,4592,11643,12319,3206,2802,10109,10649,1843,1765,1494,1627,26,25,40,43,27.153923481757435,72.84607651824257,30.356501973920324,69.64349802607967
Huntingdon,6492,19202,113,2921,28728,22.598162071846282,66.84071289334447,0.39334447229184066,10.167780562517406,5582,5368,16910,17627,3787,3591,14737,15373,1764,1745,2114,2190,31,32,59,64,23.34420526201348,76.65579473798651,24.81771296460964,75.18228703539036
Indiana,15409,29541,267,6527,51744,29.77929808286951,57.09067717996289,0.5160018552875696,12.614022881880024,13181,12697,27881,29215,8299,7846,23488,24660,4797,4771,4312,4458,85,80,81,97,30.2944264172552,69.70557358274479,32.10023866348449,67.89976133651552
Jefferson,5808,19750,153,3088,28799,20.167366922462584,68.57877009618389,0.5312684468210702,10.72259453453245,4834,4707,17618,18235,3135,2998,14838,15387,1691,1700,2744,2812,8,9,36,36,20.516955801586608,79.48304419841338,21.53037591305897,78.46962408694102
Juniata,2741,10127,51,1434,14353,19.097052880930814,70.55667804640144,0.3553264125966697,9.990942660071065,2478,2290,9251,9721,1667,1489,7896,8308,805,796,1324,1381,6,5,31,32,19.06585629839314,80.93414370160687,21.1271208116634,78.8728791883366
Lackawanna,79207,52305,660,18777,150949,52.47268945140412,34.650776089937665,0.43723376769637423,12.439300690961847,61653,59510,51944,56261,40214,38410,42296,45790,21074,20728,9282,10070,365,372,366,401,51.403201147092105,48.596798852907895,54.27344031972675,45.72655968027325
Lancaster,114763,187151,2184,61891,365989,31.356953351056998,51.13568987046059,0.5967392462614997,16.910617532220915,118580,120119,162105,166261,78894,79423,136177,140214,38102,39080,24560,24543,1584,1616,1368,1504,41.9439206648509,58.0560793351491,42.24664659671874,57.75335340328126
Lawrence,20877,30132,267,7194,58470,35.70548999486917,51.534120061570036,0.45664443304258595,12.303745510518214,16176,15440,29405,31347,10466,9814,24019,25669,5624,5535,5278,5560,86,91,108,118,33.00061983029474,66.99938016970526,35.4884710734736,64.51152892652641
Lebanon,26686,53514,558,15108,95866,27.836772161141592,55.82166774456011,0.5820624621868024,15.759497632111488,24745,24734,46172,48282,14918,14784,37312,39124,9577,9693,8552,8818,250,257,308,340,33.87476717431796,66.12523282568205,34.89290297107887,65.10709702892113
Lehigh,115281,91614,1383,50442,258720,44.55820964749536,35.41048237476809,0.5345547309833024,19.496753246753247,94875,96317,87147,91207,56636,57279,67257,70853,36847,37587,18763,19070,1392,1451,1127,1284,51.362492267656414,48.63750773234359,52.122820318423045,47.877179681576955
Luzerne,88747,91435,1031,28475,209688,42.32335660600511,43.6052611498989,0.4916828812330701,13.579699362862922,64495,62445,87048,92397,37678,36005,70862,75152,25907,25561,15197,16119,910,879,989,1126,40.32820552563258,59.671794474367424,42.558877678282734,57.441122321717266
Lycoming,19043,44579,420,9925,73967,25.745264780239836,60.26876850487379,0.5678207849446375,13.41814592994173,17354,17216,40669,41961,11763,11604,33842,34924,5499,5516,6673,6878,92,96,154,159,29.092383865353096,70.90761613464691,29.90882925736346,70.09117074263655
McKean,5632,16345,165,3608,25750,21.871844660194174,63.47572815533981,0.6407766990291262,14.011650485436894,5231,5115,13799,14401,3555,3422,11794,12317,1651,1669,1960,2035,25,24,45,49,26.209264193482273,73.79073580651773,27.48817656332107,72.51182343667892
Mercer,24809,38837,377,9995,74018,33.5175227647329,52.469669539841654,0.5093355670242373,13.503472128401201,20302,20145,36468,37761,13420,13215,29535,30716,6756,6807,6747,6845,126,123,186,200,34.78914102165579,65.2108589783442,35.76184604544654,64.23815395455345
Mifflin,5518,18558,124,2871,27071,20.383436149384952,68.5530641646042,0.45805474492999887,10.605444941080862,4991,4735,16413,17184,2950,2716,13609,14255,2008,1989,2711,2829,33,30,93,100,21.602262876956065,78.39773712304392,23.31807138852551,76.68192861147449
Monroe,51303,43697,696,24319,120015,42.74715660542432,36.40961546473358,0.5799275090613674,20.263300420780737,41701,42007,40872,42676,23222,23358,30292,31765,17981,18148,10225,10515,498,501,355,396,49.6049974611197,50.3950025388803,50.50198006612331,49.49801993387669
Montgomery,311238,214798,3128,103649,632813,49.18325002804936,33.94336083487539,0.4943008440092097,16.37908829306604,311859,317103,196422,198311,184625,187364,149916,152478,124583,127018,45135,44411,2651,2721,1371,1422,61.52393997834751,38.4760600216525,61.355628087612956,38.644371912387044
Montour,3903,6697,58,1922,12580,31.025437201907792,53.23529411764706,0.46104928457869637,15.278219395866454,3813,3862,5847,5944,2341,2351,4690,4790,1436,1469,1127,1126,36,42,30,28,39.38405058127677,60.61594941872323,39.47204968944099,60.52795031055901
Northampton,99689,87692,1366,46576,235323,42.36262498778275,37.26452577946057,0.5804787462338998,19.792370486522778,84762,86655,85787,89817,46234,47531,63508,66942,37234,37732,21163,21653,1294,1392,1116,1222,49.104107167142665,50.895892832857335,49.69949985048285,50.30050014951715
Northumberland,16363,32574,350,7751,57038,28.68789228233809,57.10929555734773,0.6136260037168204,13.589186156597355,13432,12863,28706,30240,9203,8680,24174,25474,4123,4081,4344,4562,106,102,188,204,29.842470361691763,70.15752963830823,31.876216241871948,68.12378375812806
